ベクターファイル,数式で線を表している画像。拡大しても滑らかな曲線が描ける。
EMFファイル,高画質プリント用に大量の精細画像を保管する目的で設計されたWindowsのファイル形式。
TIF,画像ファイルの拡張子名。
RPA,人がコンピュータ上で行う定型的な事務作業を、ソフトウェアロボットが代行・自動化するシステム
PowerApps,業務用アプリを簡単に開発できるサービス。ローコード開発に特化している。
Power Automate,Microsoftが提供する業務のプロセスの自動化を実現するツール。
SVGファイル,Scalable Vector Graphics。画像フォーマットの一種でベクター形式のデータ。XMLに準拠しており、テキストエディタで編集することも可能。
ハルシネーション,事実に基づかない回答をする生成AI特有の現象。
シームレス,複数のサービスがあたかも1つのサービスのように利用できる状態
MCP,AIと外部のデータやサービスをつなぐためのプロトコル。
イントラネット,企業や組織内部でのみ利用される専用のネットワークシステム。
PoC,概念実証を意味する言葉。新規事業や新商品の開発などのプロジェクトにおいて、実現可能性を確かめるための手法。
RPA,ロボティクス・プロセス・オートメーション。業務の定型的な作業をソフトウェアロボットが自動化する技術。
証憑保管,しょうひょうほかん。取引や契約が行われたことを証明するための書類。
サムル認証（SAML認証）,異なるサービス間でユーザー認証を効率化するための標準規格。シングルサインオンを実現するために利用される。
SAP BTP,SAPが提供しているPaaS型のシステム基盤。アプリケーション開発/自動化/統合/データ管理・分析/AIといった複数の機能をSAPアプリケーション向けに最適化された単一のプラットフォーム上で提供。
閉域,特定のユーザーまたは拠点のみがアクセスできるプライベートネットワーク。
覚書,当事者間の合意内容を記録し、証拠として残しておくための文書。
元帳,もとちょう。企業が行ったすべての取引を勘定科目ごとに分類し記載した帳簿。
クラウドリフト,オンプレミス環境で稼働するシステムをそのままクラウド環境に移行すること。
Heroku,アプリケーションを簡単に開発・公開できるクラウドプラットフォーム（PaaS）
Virtual Relation,弊社用語。SVF Cloud for Salesforce用語。本来取れない特殊な設定を取る機能。
PPAP,メールでパスワード付きのZIPファイルを送り、その後別のメールでファイルを開くためのパスワードを送ること。政府が廃止の方針を発表している。
PMS,個人情報保護マネジメントシステム
OEM,Original Equipment Manufacturerの略で、製造を委託されたメーカーが自社のブランドとしてではなく相手先のブランドとして商品を作ること。
R&D,Reserch and Development。研究開発のことで製造業やIT業界で重要視されている。
同期処理,複数のタスクを実行する際に一つずつ順番にタスクが実行される方式のこと。SVF CloudではAPI接続は同期処理。
非同期処理,あるタスクを実行している最中に、その処理を止めることなく別のタスクを実行できる方式。SVF Cloudでは監視モジュールを使う場合は非同期処理。
Amazon S3,AWSクラウド上にファイルを保存するためのオブジェクトストレージサービス。様々な拡張子のファイルを置ける保存領域。
AWS Lambda,サーバーをプロビジョニングしたり管理しなくてもコードを実行できるコンピューティングサービス。
S3 プットトリガー,Amazon S3にファイルをPUTした際に、Lambda関数や他のAWSサービスを自動的に起動する仕組み。
パフォーマンスチューニング,システムのアプリケーションの性能を最適化し、効率的にどうさせるための手法やプロセスを指す。
REST通信,Representational State Transferの略。HTTPプロトコルを利用して、クライアントとサーバー間でデータをやり取りするための通信方式。
インテグレーションハブ,複数のシステムやアプリケーションを連携させるためのプラットフォームやツールのこと。
Sys ID,ServiceNowにおける各レコードに割り当てられる128ビットのGUID（Globally Unique Identifier）。ServiceNowのデータベース内で各レコードを一意に識別するために使用される。
ミルシート,製造業において、製品の製造過程や品質管理のために使用される文書。製品の仕様、材料、工程、検査結果などが記載されている。
JARファイル,Java ARchiveの略。Javaで作成された複数のクラスファイルや関連リソースを1つの圧縮ファイルにまとめたもの。
モックデータ,実際のデータに似せて作成されたテスト用のデータ。システム開発やテストの際に使用される。
クラサバ,クライアントサーバーモデルの略語。システムの構成要素をサービスを提供するサーバーと、サービスをリクエストするクライアントに分けて運用する形態。
起票,会計や経理、総務などの業務において書類や伝票を新たに作成・発行することを指す。
SMTPサーバ,メールの送信を担当するサーバー。Simple Mail Transfer Protocolの略。
IMAPサーバ,メールの受信を担当するサーバー。Internet Message Access Protocolの略。
POP3サーバ,メールの受信を担当するサーバー。Post Office Protocolの略。
カットオーバー,新しく開発されたシステムが稼働すること。
中継領域,お客様のシステムとTransaction Designerを中継する領域(ストレージ)。
SFTP接続,SSH File Transfer Protocolの略。SSHを利用して安全にファイル転送を行うためのプロトコル。
DevOps,ソフトウェア開発（Development）と運用（Operations）を組み合わせた言葉。開発と運用の連携を強化し、運用と開発者の対立を解消すること。
アノテーション,データに対して追加の情報や説明を付け加える作業。
プロシージャー,SVF Cloud for Salesforceの開発者向け機能。プロシージャーがSalesforceのApexクラスに呼び出されるとSalesforce REST APIを使用してSVF Cloudから帳票を生成する。
NDA,Non-Disclosure Agreementの略。秘密保持契約のこと。
稟議,企業や組織内での意思決定を行うための正式な承認プロセス。
MVP,Minimum Viable Productの略。最小限の機能を持つ製品やサービスのこと。
スタンドアロン,単独で動作するシステムやアプリケーションのこと。他のシステムやネットワークに依存せずに機能する。
ヒープメモリ,動的に確保と開放を繰り返せるメモリ領域。JavaやC++などのプログラミング言語で使用される。
